firstName,lastName,title,email,homePhone,mobilePhone,streetAddress,city,province,postCode
Matthew,Meade,Mr,mafumeade@gmail.com,709-694-4321,709-694-0182,2A McNeilly Street,St. John's,NL,A1B 1Y8
Kenny,Meade,Mr,kennydmeade@gmail.com,709-698-2437,709-695-6451,PO Box 662,Grand Bay East,NL,A0N 1K0
Ardys,Cowper,Honorable,acowper0@wsj.com,746-942-5713,604-553-0576,4 Scoville Pass,Wabana,NL,R7T 0R5
Ingram,Brunsdon,Dr,ibrunsdon1@amazon.de,746-322-8083,982-162-3792,65 Anzinger Drive,Grand Bank,NL,V3Y 9U5
Waylen,Ludmann,Honorable,wludmann2@t.co,648-307-2137,639-515-0810,90 Birchwood Crossing,Torbay,NL,Q8P 2F5
Pippa,Derl,Rev,pderl3@gnu.org,807-525-9354,935-932-5612,4717 Emmet Park,Torbay,NL,X6K 0T8
Janelle,Mattaus,Dr,jmattaus4@1und1.de,833-930-3420,579-545-3904,795 La Follette Place,Labrador City,NL,H2N 0D8
Jamil,Goulden,Ms,jgoulden5@blogger.com,411-779-4833,835-894-6893,74 Northland Place,Labrador City,NL,V8Y 9N4
Desmond,Polkinghorne,Dr,dpolkinghorne6@si.edu,344-316-6644,241-964-7181,9 Norway Maple Road,Grand Bank,NL,L4B 6T5
Ewan,Knivett,Honorable,eknivett7@xrea.com,644-512-3129,609-253-2376,5 Eagle Crest Drive,Torbay,NL,L3L 3K4
Clemente,Jerwood,Rev,cjerwood8@issuu.com,832-758-4594,824-361-0934,72900 Village Point,Wabana,NL,D7W 9G7
Olia,Larmett,Mr,olarmett9@skype.com,733-728-4307,324-798-5311,39934 Petterle Lane,Marystown,NL,X2L 9U0
Maddy,Mains,Honorable,mmainsa@dagondesign.com,406-380-1137,595-567-3662,89 Daystar Road,Bay Roberts,NL,R9Z 6V0
Aylmar,Knevet,Ms,aknevetb@lycos.com,561-302-5646,494-290-5958,880 Warner Center,Torbay,NL,R7P 0L0
Elisabeth,Williscroft,Mrs,ewilliscroftc@va.gov,221-692-4119,404-161-4046,393 Kenwood Hill,Torbay,NL,B7Q 4Y0
Florenza,Miche,Ms,fmiched@parallels.com,431-920-8947,535-556-9728,94243 Nelson Trail,Mount Pearl,NL,G6P 3H0
Merwin,Featherstone,Honorable,mfeatherstonee@nasa.gov,769-262-6802,301-184-3417,476 Reinke Hill,Carbonear,NL,R8S 9X6
Babs,Opie,Dr,bopief@webeden.co.uk,409-867-1624,665-589-0075,2 Blaine Center,Torbay,NL,E0J 5B9
Lola,Pomroy,Honorable,lpomroyg@chicagotribune.com,215-865-5036,832-992-0639,6 Warrior Lane,Carbonear,NL,H6G 1Q5
Sharity,Grigoletti,Mr,sgrigolettih@privacy.gov.au,987-343-1883,145-924-7166,62 Tomscot Park,Bay Roberts,NL,G6F 6S8
Donalt,Goodsir,Ms,dgoodsiri@deviantart.com,604-514-4729,937-205-7867,49 Waubesa Park,Lewisporte,NL,J1H 8Q2
Lotti,MacGraith,Mr,lmacgraithj@sfgate.com,283-303-0397,286-353-8702,175 Arrowood Street,Mount Pearl,NL,B1O 9G0
Rockwell,Dugald,Rev,rdugaldk@cocolog-nifty.com,570-288-5240,587-546-5764,114 5th Lane,Conception Bay South,NL,O7G 0Z9
Eugenia,Banford,Mr,ebanfordl@reddit.com,240-930-4340,274-902-2085,75434 Portage Pass,Marystown,NL,G5H 4G8
Myriam,Ribou,Honorable,mriboum@nydailynews.com,187-600-6557,690-305-6678,28566 7th Alley,Bay Roberts,NL,R7Z 8E8
Lothario,Mattocks,Honorable,lmattocksn@networkadvertising.org,361-802-8061,700-199-7913,4 Forest Dale Terrace,Pasadena,NL,P5Z 4S8
Gerek,Goodbar,Ms,ggoodbaro@trellian.com,499-550-0054,446-359-4807,873 Washington Point,Catalina,NL,L1U 5M2
Elsa,Carman,Mr,ecarmanp@godaddy.com,621-218-7790,836-209-9874,6 Charing Cross Crossing,Mount Pearl,NL,H9G 4Q4
Reynolds,Farge,Honorable,rfargeq@pbs.org,784-589-5527,909-352-1322,71 Express Pass,Conception Bay South,NL,A1D 2R6
Adrianne,De Carolis,Rev,adecarolisr@deliciousdays.com,657-221-7759,877-906-0808,92509 Elgar Drive,Pasadena,NL,G5T 6C4
Janifer,Hanney,Rev,jhanneys@flavors.me,635-812-3779,300-342-9767,69468 Tomscot Lane,Torbay,NL,X9U 5Z0
Gordon,Toombes,Mrs,gtoombest@berkeley.edu,166-923-4530,509-765-3285,58 Gina Crossing,Pasadena,NL,D7S 4E9
Marleen,Decourcy,Ms,mdecourcyu@miitbeian.gov.cn,364-171-4233,530-879-4186,6938 Village Center,Carbonear,NL,K2W 7R4
Noni,Coakley,Rev,ncoakleyv@arstechnica.com,627-567-5203,514-582-9038,63674 Mariners Cove Avenue,Conception Bay South,NL,D3Z 8L9
George,Gramer,Mrs,ggramerw@1und1.de,737-443-6764,507-249-4226,4275 Warner Circle,Bonavista,NL,N1L 2V2
Whitney,Conre,Mr,wconrex@dedecms.com,157-877-7032,429-817-3318,2 Cottonwood Road,Bay Roberts,NL,Y0R 9B9
Susan,Chatenet,Mrs,schatenety@unesco.org,761-225-4587,774-187-2045,26327 Logan Park,Catalina,NL,U3X 0X3
Selia,Loftie,Ms,sloftiez@bloglovin.com,111-241-0993,790-611-9548,498 Spohn Drive,Mount Pearl,NL,B7L 7I6
Mellie,Nast,Ms,mnast10@google.com.hk,727-275-0979,707-727-5518,8 Kenwood Point,Torbay,NL,J8C 6B4
